Protein name,UniProt ID,Protein abbreviation,Super pathway,Sub pathway,Metabolite,HMDB,KEGG,Beta m1,SE m1,Nominal p-value m1,Beta m2,SE m2,Nominal p-value m2
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Energy,Oxidative Phosphorylation,phosphate,HMDB0001429,C00009,0.0023,0.0464,0.959734176683034,0.0406,0.0464,0.381904598345224
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Energy,TCA Cycle,aconitate [cis or trans],"HMDB0000958,HMDB000072","C004174,C02341",0.2193,0.0432,3.80423567092336e-07,0.1869,0.0455,3.97367949769301e-05
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Energy,TCA Cycle,alpha-ketoglutarate,HMDB0000208,C00026,0.2596,0.0427,1.24003651791327e-09,0.2258,0.0439,2.668180130172e-07
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Energy,TCA Cycle,citraconate/glutaconate,"HMDB0000634,HMDB0000620","C02226,C02214",0.0394,0.0443,0.373538171021589,0.0559,0.0443,0.207867142244219
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Energy,TCA Cycle,citrate,HMDB0000094,C00158,-0.005,0.0446,0.911578196909771,-0.0105,0.0442,0.811671089862882
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Energy,TCA Cycle,fumarate,HMDB0000134,C00122,0.0528,0.0443,0.233056854588581,0.0469,0.0442,0.289074084583403
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Energy,TCA Cycle,malate,"HMDB0031518,HMDB0000156,HMDB0000744","C00149,C00711,C00497",0.0858,0.0442,0.0518836816714603,0.0867,0.0441,0.0492039576705998
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Energy,TCA Cycle,succinate,HMDB0000254,C00042,0.1941,0.0436,8.5941801264422e-06,0.193,0.0439,1.09951945488351e-05
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Energy,TCA Cycle,succinylcarnitine (C4-DC),HMDB0061717,Not available,0.186,0.0461,5.45810138805614e-05,0.1542,0.0482,0.00138253779689146
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",allantoin,HMDB0000462,"C02348,C01551,C02350",0.0888,0.0447,0.0469533007103737,0.0813,0.0443,0.0666602705797696
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",hypoxanthine,HMDB0000157,C00262,0.0477,0.0448,0.287049023960426,0.0454,0.0441,0.303263286053439
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",inosine,HMDB0000195,C00294,0.0543,0.0454,0.232115683127619,0.0605,0.0451,0.179561680591619
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",N1-methylinosine,HMDB0002721,Not available,0.069,0.0449,0.124126196880853,0.0168,0.0487,0.729506399152562
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",urate,HMDB0000289,C00366,0.1949,0.054,0.000307425541602013,0.1411,0.0595,0.0177175487855819
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",xanthine,HMDB0000292,C00385,0.231,0.0434,1.04550505586332e-07,0.1917,0.0454,2.38627775148714e-05
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",xanthosine,HMDB0000299,C01762,0.0766,0.048,0.110898166350712,0.0592,0.05,0.236423010447344
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Purine Metabolism, Adenine containing",adenine,HMDB0000034,C00147,0.0628,0.0501,0.210707074633519,0.0445,0.0501,0.374057209172359
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Purine Metabolism, Adenine containing","adenosine 3',5'-cyclic monophosphate (cAMP)",HMDB0000058,C00575,0.1143,0.047,0.014943082448345,0.1273,0.0478,0.00769415991078692
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,Nucleotide,"Purine Metabolism, Adenine containing",adenosine 5'-monophosphate (AMP),HMDB0000045,C00020,0.2425,0.0433,2.08211035079842e-08,0.2479,0.0424,5.16660225713395e-09
